p.accession,p.type,target.LPGF,decoy.LPGF
NP_789791.1,master,inf,0.1843974697238742
NP_778235.1,master,inf,0.10059967911029259
NP_055129.2,master,inf,1.148484616516501
NP_003170.1,master,6.003739677897546,0.09883157795868706
NP_149022.3,master,4.055371631550157,0.492934472223723
NP_005653.3,master,inf,0.07750760521845552
NP_733765.1,master,inf,0.4436373502984311
NP_055426.1,master,inf,0.06948076971711957
NP_002267.2,master,inf,1.0541986878655212
NP_055417.1,master,inf,0.9912561181134768
NP_116023.2,master,inf,0.21360089560802858
NP_659731.1,master,11.146041218950598,0.11981785436909212
NP_036580.2,master,inf,0.06265795902707623
NP_002613.2,master,inf,1.1928863243692949
NP_653280.1,master,inf,0.013572129579409984
NP_005224.2,master,4.964439984824847,0.23397793207692116
NP_000680.2,master,inf,0.5779431605699747
NP_057404.2,master,9.934690793009274,0.3593694733249535
NP_003070.3,master,inf,0.09535373810574564
NP_620693.1,master,9.242259847202634,0.11318295315043979
NP_004878.2,master,inf,0.10963609207670984
NP_005723.2,master,inf,0.022269214745903747
NP_057406.2,master,inf,0.4410911205938912
NP_003897.2,master,inf,0.047283075347388646
NP_001058.2,master,inf,0.6127038477906475
NP_490597.1,master,inf,0.03098101026660827
NP_001926.2,master,inf,0.4150603807656381
NP_002804.2,master,inf,0.5996457913161143
NP_065908.1,master,inf,0.9450479506332329
NP_036233.2,master,inf,0.006653955496379019
NP_438172.1,master,inf,0.35295722165732085
NP_203524.1,master,9.053390577022748,0.19377389318914773
NP_004976.2,master,10.117595105138598,0.08012663522113314
NP_001744.2,master,inf,0.24158503542162527
NP_006762.3,master,4.981805749439049,0.782003974901437
NP_149034.2,master,6.984592809340159,0.6063463174347121
NP_000517.2,master,inf,0.16324212936084567
NP_036380.2,master,inf,0.3430870450207232
NP_066293.2,master,9.20129940336609,0.7022172403942211
NP_001217.2,master,inf,0.41071131911154485
NP_002898.2,master,inf,0.3716075571626383
NP_115904.1,master,11.424197948789962,0.5862411242355587
NP_113664.1,master,inf,0.35186257407272464
NP_008944.1,master,inf,0.04303271194730305
NP_112243.1,master,inf,0.016323086192390108
NP_071334.1,master,inf,1.3381168103192267
NP_079511.1,master,4.443055673357045,0.26180768134452936
NP_079493.1,master,8.822187260975678,0.32999618551495435
NP_074036.1,master,inf,0.9752786393967015
NP_001746.1,master,14.109491730176746,1.1230071353253563
NP_073592.1,master,inf,0.04603238799014074
NP_031397.1,master,inf,0.11305848657576419
NP_004032.2,master,10.53388662184273,0.38932211122082383
NP_064647.1,master,10.52866446953853,0.40235039049994414
NP_000568.1,master,6.085813167125023,0.07428968972325685
NP_000567.1,master,9.194438805677482,0.6980391114082652
NP_000557.1,master,7.3346152153053445,0.5182439461137393
NP_062547.1,master,inf,0.23958818245233673
NP_062427.1,master,inf,0.05368619303832907
NP_002006.2,master,5.480976000154046,0.5529130559763507
NP_060416.1,master,inf,0.5672369387525721
NP_060605.1,master,12.819457118814228,0.28992505041320854
