p.accession,p.type,target.LPGF,decoy.LPGF,qcPass,qcType
NP_079023.2,master,inf,0.4163349914978329,true,tb
NP_573566.2,master,inf,0.9291415049994428,true,tb
NP_001061.2,master,inf,0.21890111733382464,true,tb
NP_078932.2,master,inf,0.014380964524830024,true,tb
NP_835369.1,master,inf,1.395512623170183,true,tb
NP_821068.1,master,7.940232698043193,0.020522177712176598,true,tb
NP_789794.1,master,7.505582633235946,1.2791497967399816,true,tb
NP_789791.1,master,inf,0.1843974697238742,true,tb
NP_778235.1,master,inf,0.1005996791102926,true,tb
NP_055129.2,master,inf,1.148484616516501,true,tb
NP_003170.1,master,6.0037396778975465,0.09883157795868706,true,tb
NP_149022.3,master,4.055371631550156,0.49293447222372294,true,tb
NP_005653.3,master,inf,0.07750760521845552,true,tb
NP_733765.1,master,inf,0.4436373502984311,true,tb
NP_055426.1,master,inf,0.06948076971711957,true,tb
NP_002267.2,master,inf,1.0541986878655212,true,tb
NP_055417.1,master,inf,0.9912561181134768,true,tb
NP_116023.2,master,inf,0.21360089560802856,true,tb
NP_659731.1,master,11.146041218950598,0.11981785436909212,true,tb
NP_036580.2,master,inf,0.06265795902707623,true,tb
NP_002613.2,master,inf,1.1928863243692949,true,tb
NP_653280.1,master,inf,0.013572129579409984,true,tb
NP_005224.2,master,4.964439984824846,0.2339779320769212,true,tb
NP_000680.2,master,inf,0.5779431605699747,true,tb
NP_057404.2,master,9.934690793009274,0.3593694733249535,true,tb
NP_003070.3,master,inf,0.09535373810574564,true,tb
NP_620693.1,master,9.242259847202632,0.1131829531504398,true,tb
NP_004878.2,master,inf,0.10963609207670984,true,tb
NP_005723.2,master,inf,0.022269214745903747,true,tb
NP_057406.2,master,inf,0.4410911205938912,true,tb
